"","item","itemLabel","class","classLabel","country","countryLabel","location","locationLabel","part_of","part_ofLabel","point_in_time","start_time","end_time","participant","participantLabel","wikidata_id"
"1","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q185729","War on Terror","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q115","Ethiopia","Q1072042"
"2","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q243620","Somali Civil War","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q115","Ethiopia","Q1072042"
"3","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q5692053","Ethiopian–Somali conflict","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q115","Ethiopia","Q1072042"
"4","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q185729","War on Terror","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q9603","Sufism","Q1072042"
"5","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q243620","Somali Civil War","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q9603","Sufism","Q1072042"
"6","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q5692053","Ethiopian–Somali conflict","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q9603","Sufism","Q1072042"
"7","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q185729","War on Terror","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q332065","Transitional Federal Government","Q1072042"
"8","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q243620","Somali Civil War","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q332065","Transitional Federal Government","Q1072042"
"9","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q5692053","Ethiopian–Somali conflict","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q332065","Transitional Federal Government","Q1072042"
"10","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q185729","War on Terror","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q485112","Puntland","Q1072042"
"11","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q243620","Somali Civil War","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q485112","Puntland","Q1072042"
"12","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q5692053","Ethiopian–Somali conflict","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q485112","Puntland","Q1072042"
"13","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q185729","War on Terror","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q737040","Islamic Courts Union","Q1072042"
"14","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q243620","Somali Civil War","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q737040","Islamic Courts Union","Q1072042"
"15","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q5692053","Ethiopian–Somali conflict","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q737040","Islamic Courts Union","Q1072042"
"16","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q185729","War on Terror","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q927467","Galmudug","Q1072042"
"17","http://www.wikidata.org/entity/Q1072042","War in Somalia (2006-2009)","http://www.wikidata.org/entity/Q198","war","","","http://www.wikidata.org/entity/Q1045","Somalia","http://www.wikidata.org/entity/Q243620","Somali Civil War","2006-12-20T00:00:00Z","2006-12-20T00:00:00Z","2009-01-30T00:00:00Z","http://www.wikidata.org/entity/Q927467","Galmudug","Q1072042"
