"","location_name","lon","lat"
"1","Iraqi Kurdistan",44.3871953,36.4103395
"2","Mindanao",123.3034062,8.49613
"3","Afghanistan",67.709953,33.93911
"4","Middle East",42.5509603,29.2985278
"5","Africa",34.508523,-8.783195
"6","Central Asia",68.8319005,45.4506875
"7","South Asia",76.4563087,25.03764
"8","Somalia",46.199616,5.152149
"9","Villamor Airbase",121.0192472,14.5163881
"10","Camp Crame",121.053216,14.6078572
"11","Fort Bonifacio",121.0503183,14.5408671
"12","Cavite Naval Base (Philippine Navy)",120.9166217,14.482262
"13","Sangley Point Air Base (Philippine Air Force)",120.9114075,14.4949765
"14","Mactan Airbase, Cebu",123.9674377,10.3111121
"15","Malacañan Palace",120.9946065,14.5946001
"16","Makati",121.0244452,14.554729
"17","Manila",120.9842195,14.5995124
"18","Quezon City",121.0437003,14.6760413
"19","Metropois",-88.739522,37.1537344
"20","Camp Aguinaldo",121.065041,14.6061017
"21","Iraq, Kuwait, Saudi Arabia, and the Persian Gulf",51.6834275,26.7505337
"22","Iraq",43.679291,33.223191
"23","Kuwait",47.481766,29.31166
"24","Saudi Arabia",45.079162,23.885942
"25","Persian Gulf",51.6834275,26.7505337
"26","Mosul, Iraq",43.157736,36.3489278
"27","Basra",47.773797,30.5257657
"28","Ad-Dawrah",NA,NA
"29","Baghdad, Iraq",44.3660671,33.315241
"30","Ras Tanura, Saudi Arabia",49.998236,26.773008
"31","Persian Gulf, Off the coast of Kuwait",48.2891359,29.4426996
"32","Khafji, Eastern Province, Saudi Arabia",48.4887224,28.4256618
"33","Khan Bani Saad, Iraq",44.5411655,33.5701198
"34","Al-A'amiriya, Baghdad, Iraq",44.2999955,33.2997418
"35","Kuwait, Iraq, Persian Gulf",51.6834275,26.7505337
"36","Al Busayyah, Iraq",NA,NA
"37","Basra, Iraq",47.773797,30.5257657
"38","Jalibah Southeast Air Base",NA,NA
"39","Kuwait City Airport",47.9710458,29.2404414
"40","Muthanna Province, Iraq",45.2993862,29.9133171
"41","Northern Iraq",44.3871953,36.4103395
"42","Lake Hammar, Iraq",47.05,30.766667
"43","Slovenia",14.995463,46.151241
"44","Croatia",15.2000001,45.1
"45","Bosnia and Herzegovina",17.679076,43.915886
"46","Serbia",21.005859,44.016521
"47","Montenegro",19.37439,42.708678
"48","Kosovo",20.902977,42.6026359
"49","Republic of Macedonia",21.745275,41.608635
"50","Haiti",-72.285215,18.971187
"51","Port-au-Prince",-72.3074326,18.594395
"52","Mogadishu, Somalia",45.3181623,2.0469343
"53","Banja Luka, Bosnia and Herzegovina",17.191,44.7721811
"54","Iraq-Kuwait border",47.7025402,30.0830204
"55","Pale, Bosnia and Herzegovinia",18.5711013,43.8118946
"56","Yugoslavia",-79.4121417,43.6876095
"57","Albania",20.168331,41.153332
"58","Khost, Afghanistan",69.9371673,33.3338472
"59","Khartoum, Sudan",32.5598994,15.5006544
"60","Yemen",48.516388,15.552727
"61","Novi Sad",19.8335496,45.2671352
"62","Federal Republic of Yugoslavia",NA,NA
"63","Košare, Kosovo, FR Yugoslavia",20.2347409,42.4547226
"64","Grdelica, Serbia",22.0761631,42.8894456
"65","Gjakova, Kosovo, FR Yugoslavia",20.4285021,42.3844104
"66","Belgrade Federal Republic of Yugoslavia",20.4489216,44.786568
"67","Lužane, Serbia",21.7281043,43.481642
"68","Belgrade, Serbia, Yugoslavia",20.4521836,44.7881671
"69","Koriša, Yugoslavia",20.7897275,42.2615528
"70","Dubrava Prison, Istok, Kosovo",20.5528304,42.7870318
"71","global",-73.6613652,40.8087324
"72","Kandahar, Afghanistan",65.7371749,31.628871
"73","Philippines",121.774017,12.879721
"74","Georgia",-82.9000751,32.1656221
"75","Kyrgyzstan",74.766098,41.20438
"76","Sahara",25.66283,23.4162027
"77","Mazar-i-Sharif, Balkh Province, Afghanistan",67.1179511,36.6926167
"78","Kunduz, Afghanistan",68.8680663,36.7285907
"79","Herat, Afghanistan",62.2040287,34.352865
"80","Kabul, Afghanistan",69.207486,34.5553494
"81","Tarinkot, Afghanistan",65.9036295,32.666404
"82","Qala-i-Jangi, Balkh Province, Afghanistan",66.9846531,36.6674951
"83","Shawali Kowt, Arghandab River, Afghanistan",65.9036295,32.666404
"84","Sayyd Alma Kalay, Arghandab River, Afghanistan",65.6775565,31.7113013
"85","Pachir Aw Agam District, Nangarhar Province, Afghanistan",70.6216794,34.1718313
"86","Oruzgan Province, Afghanistan",66.1415263,32.9271287
"87","Shahi Kot Valley, Paktia Province, Afghanistan",69.3831079,33.706199
"88","Takur Ghar, Afghanistan",69.2144444,33.3427778
"89","Maghreb",2.4604145,25.6422079
"90","Sahara desert",25.66283,23.4162027
"91","Sahel",13.5436913,19.0643174
"92","Paktia Province, Afghanistan",69.3831079,33.706199
"93","Khost province, Afghanistan",69.8597406,33.3585079
"94","Pakita province, Afghanistan",69.3831079,33.706199
"95","Southern Iraq",46.3624686,31.1042292
"96","Horn of Africa",41.2808577,9.1303782
"97","Gulf of Aden",47.922363,12.533115
