wikidata_name,wikidata_id,potential_drop,has_infobox,start_date,end_date,location_name,location_latlong,result,belligerent_sideA,belligerent_sideB,means_drones,means_airtoair,means_cruisemissiles,means_aerialbombing,means_closeairsupport,means_groundtroops,means_paramilitary,casualties_sideA,casualties_sideB,casualties_civilian,casualties_us,notes
Iraqi–Kurdish conflict,Q6068230,0,1,1918-01-01,2003-01-01,Iraqi Kurdistan,NA,Formation of Kurdish autonomous region (Iraqi withdrawal from Kurdish territory in 1991; Kurds gain de facto autonomy; Kurdish Civil War from 1994 to 1998 with Iraqi involvement in 1995; Peshmerga assists coalition forces during 2003 invasion of Iraq; overthrow of Ba'ath rule; Kurdistan Regional Government recognized by. the Iraqi central government in 2005),Kingdom of Kurdistan; KDP; PUK; SCIRI; Iraqi Kurdistan; United States; United Kingdom,Mandatory Iraq; Kingdom of Iraq; Iraq; MKO,0,0,1,0,0,0,1,NA,NA,NA,NA,"Date listed as 1918-2003 (main phase: 1961-1991) first of the month coded; U.S. and UK involved as Enforcing No-Fly Zone per UNSC Resolution 688; Paramilitary and ground troops involved in later Iraqi invasion; Casualties: 163,800 - 345,100 killed"
Moro conflict,Q1225409,1,1,1969-01-01,2019-02-22,Mindanao,NA,NA,Philippines; United States; Australia; Indonesia; Malaysia; International Monitoring Team (Brunei; Indonesia; Japan; Libya; Malaysia; Norway; European Union),Bangsamoro; Libya; Malaysia; NDFP,0,0,0,0,0,0,0,NA,NA,NA,NA,"Start date listed as 1969, first of January coded; Status: Bangsamoro Transition Authority (BTA) established in February 2019, to govern the Bangsamoro Autonomous Region in Muslim Mindanao until 2022; Territorial Changes: The Bangsamoro Autonomous Region in Muslim Mindanao was officially ratified on February 22, 2019 and replaced the Autonomous Region in Muslim Mindanao; Side B belligerents involved for differing time periods"
Moro conflict,Q1225409,1,1,1969-01-01,2019-02-22,Mindanao,NA,NA,Philippines; United States; Australia; Indonesia; Malaysia; International Monitoring Team (Brunei; Indonesia; Japan; Libya; Malaysia; Norway; European Union),Jihadist groups (BIFF; JI; Ansar Khalifa Philippines; ISIS); Former Jihadist groups (Maute group; KIM; Rajah Sulaiman Movement),0,0,0,0,0,0,0,NA,NA,NA,NA,"United States military intervention that occured after 1969 took place during Operation Enduring Freedom - Philippines; Page does not specify U.S. military action;  Casualties: at least 120,000 including civilians"
Somali Civil War,Q243620,0,1,1991-01-26,NA,Somalia,NA,Ongoing conflict,Somali Democratic Republic; United Nations; Transitional Federal Government; Ethiopia; AMISOM; Federal Government of Somalia; United States,SSDF; SNM; SPM; United Somali Congress; Islamic Courts Union; Oromo Liberation Front; Alliance for the Re-liberation of Somalia; Al-Shabaab; Ras Kamboni Brigades; Jabhatul Islamiya; Muaskar Anole ,0,1,0,0,0,0,0,NA,NA,NA,NA,
1989 Philippine coup attempt,Q4585384,0,1,1989-12-01,1989-12-09,"Villamor Airbase; Camp Crame; Fort Bonifacio; Cavite Naval Base (Philippine Navy); Sangley Point Air Base (Philippine Air Force); Mactan Airbase, Cebu; Malacañan Palace; Makati; Manila; Quezon City; Metropois; Camp Aguinaldo",14°35′38″N 120°59′40″E,"Coup crushed through United States intervention; Creation of the Davide Fact-Finding Commission; Arrest of Honasan and coup plotters, financiers and leaders but some were given amnesty later on",Philippine Government; United States,Reform the Armed Forces Movement,0,1,0,0,0,1,0,NA,NA,NA,NA,"there were 49 casualties but I don't know which side is A or B, 50 civilian casualties but not listed in inforbox"
Gulf War,Q37643,0,1,1990-08-02,1991-02-28,"Iraq, Kuwait, Saudi Arabia, and the Persian Gulf",NA,"Coalition victory (Iraqi forces expelled from Kuwait; Kuwaiti independence restored; Destruction of Iraqi and Kuwaiti infastructure; Failed Shia/Kurdish uprising against the Iraqi government; Saddam Hussein regime of the Iraqi Baathist government retains power in Iraq; UN sanctions against Iraq; Iraqi no-fly zone established; United Nations Security Council Resolution 687 establishes cease-fire terms, beginning of the Iraq disarmament controversies)",Kuwait; United States; United Kingdom; Saudi Arabia; Egypt; France; Coalition (Syria; Morocco; Oman; Pakistan; Canada; United Arab Emirates; Qatar; Thailand; Bangladesh; Italy; Australia; Netherlands; Niger; Philippines; Sweden; Argentina; Senegal; Spain; Bahrain; Belgium; Poland; South Korea; Singapore; Norway; Czechoslovakia; Greece; Denmark; New Zealand; Hungary),Iraq,0,1,1,1,1,1,1,4492,37500,4739,NA,"Territorial Changes (State of Kuwait restored; Iraqi Kurdistan obtains autonomy, establishment of the Nother Iraq no fly zone by the US);  largest military alliance since WWII; Casualties: Side A: Coalition (292 killed, 147 by enemy action, 145 non-hostile deaths) Kuwait. (4,200 killed), Side B: Iraqi (25,000-50,000 killed median coded); Civilian casualties: Kuwaiti (over 1,000 killed), Iraqi (3,664 killed), Other civilian losses (75 killed in Israel and Saudi Arabia)"
Operation Senior Surprise,Q85790978,0,0,1991-01-16,1991-01-17,"Mosul, Iraq; Basra; Iraq",36.34°N 43.13°E,NA,United States,Iraq,0,0,1,0,0,0,0,0,NA,NA,0,
Gulf War air campaign,Q8256467,0,1,1991-01-17,1991-02-23,Iraq; Kuwait,NA,Coalition victory (Coalition gain air supperiority within one week; Launch of the ground offensive),United States; United Kingdom; Saudi Arabia; Canada; France; Italy,Iraq,0,1,1,1,1,1,1,46,11000,2500,NA,"SIde B casualties 10,000-12,000 killed median coded; Civilian casualties 2,000-3,000 killed median coded"
Battle of Ad-Dawrah,Q4870215,0,1,1991-01-18,1991-01-19,Ad-Dawrah,NA,Coalition victory (Iraqi garrison destroyed),United States; United Kingdom; Kuwait,Iraq,0,0,0,1,1,0,1,NA,0,NA,0,Location: Ad-Dawrah Offshore Oil Fields; Naval engagement resulted in the first POWs of the war and the first surface engagement after the Coalition intervened in the war
Package Q Strike,Q7122885,0,1,1991-01-19,1991-01-19,"Baghdad, Iraq",NA,U.S. operational failure; U.S. tactics revised,United States,Iraq,0,0,0,1,0,0,0,2,NA,NA,2,"precise casulaties for side_B and civilians not given, only estimated as hundreds"
